Username,Comment,Rating,Time,IdProduct
meoo02,giao hàng nhanhhh 👌😒🌞😒🌞😒💕🌞🥰🥰🥰🙈🙈🙈🌞🌞🙈🌞🌞🥰🥰❤️❤️❤️🌞🌞🙈🌞🙈🌞🌞🌞🌞,5,2021-11-20 16:32:37,10753341705
lxt1992,,5,2021-11-16 21:56:10,10753341705
nguyentangphat2019,,5,2021-11-09 22:41:16,10753341705
binhtran89,,5,2021-10-28 15:54:14,10753341705
_4wncs_dg3,,5,2021-11-06 12:16:57,10753341705
trung0585797997,"Chuẩn, đẹp, giao hàng ok",5,2021-11-01 14:59:54,10753341705
meyeu643,,5,2021-11-03 15:46:07,10753341705
chitranle0000,,5,2021-10-31 07:20:23,10753341705
khoalanh2003,,5,2021-11-29 14:40:40,10753341705
mcnguyen7777,,5,2021-11-26 01:29:27,10753341705
tuyengv1992,,5,2021-11-22 10:48:41,10753341705
trangthuytruong1234,,5,2021-11-22 20:41:39,10753341705
hangbaggy,,5,2021-11-21 16:35:42,10753341705
b*****5,Giao hàng rất lâu,4,2021-11-16 13:28:28,10753341705
hienhpline,,5,2021-11-08 21:47:51,10753341705
nhan0903744122,,5,2021-11-15 17:23:15,10753341705
m*****2,Hahahahaahahahhhhhhaaăaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaa,5,2021-11-16 20:14:23,10753341705
buithanhphuong_54448,Tôi hài lòng với sp này,5,2021-11-15 06:48:39,10753341705
maingocnguyenthi23,Cảm ơn shop. Đẹp lắm ạ 😃😃😃😃😃😃😃😃😃😃😃😃😃😃😃😃😃😃😃😃😃😃😃😃😃😃😃😃😃😃😃👄👄,5,2021-11-15 20:54:50,10753341705
tipawxuvzs,,5,2021-11-14 14:04:27,10753341705
mainguyenafv,Sản phẩm ok,5,2021-10-28 22:42:17,10753341705
caosamac512,Perfect.,5,2021-10-29 00:54:18,10753341705
ihzkma3tua,,5,2021-10-27 21:46:50,10753341705
quocanmay,,5,2021-10-27 17:44:30,10753341705
s*****3,"Màu silver hơi bị đẹp nhé các nàng. Lúc đặt hàng thấy shop ở tphcm nhưng khi shop set kho lấy thì tận hnoi nên rất lâu, shop giao hơi lâu, nhân viên tư vấn ok, có gởi hđ điện tử trong mail, yên tâm hàng chính hãng nhé mn. Sau này sẽ mua thêm nếu giá tốt",5,2021-12-28 13:45:35,9994458817
quyenho99,"Giao hàng nhanh chóng, gói hàng kĩ, hàng chất lượng, iphone đẹp",5,2022-01-03 11:09:47,9994458817
p*****9,"Máy đẹp. Hiện tại ổn chưa có gì phàn nàn về máy. Mình thắc mắc là hộp ko thấy tem niêm phong của FPT như một số đánh giá khác, này mình cũng ko rành, tuy nhiên seal đặc trưng của apple thì còn nguyên nên cũng yên tâm. Mình đã nhận đc hoá đơn điện tử rồi cảm ơn shop.",5,2021-12-25 22:23:54,9994458817
lindsie,"Thời gian giao hàng nhanh, màu siêu đẹp rất đáng tiền mua sale nên giá hời.",5,2021-12-18 21:01:31,9994458817
t*****c,Ở Hà Nội đặt hôm trước hôm sau đã nhận được rồi. Chắc do màu này luôn sẵn hay sao ý. Ưng ý nhaaa,5,2021-11-28 19:08:53,9994458817
nuochoa365,"Ship nhanh kinh khủng không phải chờ, còn được trả góp : )))) quá tuyệt vời đỉnh kout!",5,2021-11-07 23:12:49,9994458817
quang.nhutly90,Giao hàng hơi chậm xíu nhưng hàng chất lượng. 5 sao.,5,2021-11-03 15:48:18,9994458817
hoaitien1992,"Hàng chính hãng, nguyên seal giao nhanh và mới 100% cảm ơn shopee đã mang đến trải nghiệm tuyệt vời cho mình. Cảm ơn J&T Express giao nhanh, an toàn và cẩn thận.",5,2021-10-27 17:57:53,9994458817
h*****f,"Giao hang nhanh,
Pack hang lau.
Mua 22 ma 27 moi nhan duoc
Chan
Chan
Chan",5,2021-10-27 23:20:20,9994458817
p*****6,"Đặt 22/10 đến chiều 23/10 là có hàng rồi. Hàng chính hãng, quy trình giao hàng riêng biệt để đảm bảo an toàn và đúng sản phẩm.",5,2021-10-25 08:56:21,9994458817
hoaitien1992,Hàng chính hãng. Nguyên seal. Xịn xò và giao cực nhanh. Mãi yêu shopee. Amazing!!!!! Good Job!!!!!,5,2021-10-24 21:35:10,9994458817
lucyngo88,Thời gian vận chuyển từ SG ra HN rất nhanh. Mình rất hài lòng :”),5,2021-10-26 22:44:05,9994458817
rmej889niy,"Hàng chính hãng, nguyên seal giao nhanh và mới 100% cảm ơn shopee đã mang đến trải nghiệm tuyệt vời cho mình. Cảm ơn J&T Express giao nhanh, an toàn và cẩn thận.",5,2021-10-26 12:59:26,9994458817
2*****6,"Mua shop mall nên yên tâm, giao hàng còn nguyên vẹn, có tem niêm phong kiện hàng.",5,2021-10-23 16:41:36,9994458817
n*****7,"Shop đóng gói nhanh, nhận hàng nhanh, hàng xịn sò k phải nghĩ rồi",5,2021-10-24 01:05:07,9994458817
her.19,Xndkc xmaoajrbxu namebdkcicns dnzldicbzbakdjd xnskjdnd,5,2021-12-30 21:54:35,9994458817
maitrongnghia145,"Đóng gói cẩn thận, mua mấy lần rồi. Ok lắm ạ! Mua xong thấy hơi bé muốn đổi sang promax 😅. Ai cần inbox ép giá ạ ❤️",5,2022-01-02 21:53:40,9994458817
